Year,Orchard,State,Region,Variety,Days over 40C,Days over 35C,Total Amount of rain ml since 1 Jan,No of rain days since 1 Jan,Days since last rain <5days from assess,Amt rain in last event<5days from assess,Days since last rain >5days from assess,Amt rain in last event>5days from assess,Total rain Jan mm,No rain days Jan,Total rain Feb mm,No rain days Feb,Rain 1st week Jan,Rain 2nd week  Jan,Rain 3rd week  Jan,Rain 4th week  Jan,Rain within 7 days of assessment,Rain within 10 days of assessment,Total_Trees_Assessed,HR Incidence
2018.19,Belvedere,Vic,Riverina,Carmel,16.0,28.0,11.0,5.0,2.0,0.9,6.0,0.8,10.0,4.0,1.0,1.0,0.0,1.4,5.6,0.0,1.7,3.7,11,0.0
2018.19,Belvedere,Vic,Riverina,Monterey,16.0,28.0,11.0,5.0,2.0,0.9,6.0,0.8,10.0,4.0,1.0,1.0,0.0,1.4,5.6,0.0,1.7,3.7,1,0.0
2018.19,Belvedere,Vic,Riverina,Np,16.0,28.0,11.0,5.0,2.0,0.9,6.0,0.8,10.0,4.0,1.0,1.0,0.0,1.4,5.6,0.0,1.7,3.7,25,0.76
2018.19,Belvedere,Vic,Riverina,Price,16.0,28.0,11.0,5.0,2.0,0.9,6.0,0.8,10.0,4.0,1.0,1.0,0.0,1.4,5.6,0.0,1.7,3.7,5,0.4
2018.19,Bennett,Vic,Sunraysia,Carmel,8.0,14.0,3.0,2.0,4.0,0.0,13.0,1.6,3.0,2.0,0.0,0.0,1.4,1.6,0.0,1.0,0.0,0.0,12,0.0
2018.19,Bennett,Vic,Sunraysia,Np,8.0,14.0,3.0,2.0,4.0,0.0,13.0,1.6,3.0,2.0,0.0,0.0,1.4,1.6,0.0,1.0,0.0,0.0,19,0.8947368421052632
2018.19,Bennett,Vic,Sunraysia,Price,8.0,14.0,3.0,2.0,4.0,0.0,13.0,1.6,3.0,2.0,0.0,0.0,1.4,1.6,0.0,1.0,0.0,0.0,2,0.0
2018.19,Big River Produce,SA,Riverland,Carmel,12.0,21.0,3.0,2.0,5.0,2.4,31.0,0.2,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13,0.0769230769230769
2018.19,Big River Produce,SA,Riverland,Np,12.0,21.0,3.0,2.0,5.0,2.4,31.0,0.2,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11,0.2727272727272727
2018.19,Big River Produce,SA,Riverland,Price,12.0,21.0,3.0,2.0,5.0,2.4,31.0,0.2,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,0.0
2018.19,Caernarvon,Vic,Sunraysia,Carmel,10.0,24.0,13.0,7.0,4.0,0.0,6.0,6.6,3.0,3.0,10.0,4.0,0.0,0.0,1.2,1.6,6.8,10.0,19,0.1052631578947368
2018.19,Caernarvon,Vic,Sunraysia,Np,10.0,24.0,13.0,7.0,4.0,0.0,6.0,6.6,3.0,3.0,10.0,4.0,0.0,0.0,1.2,1.6,6.8,10.0,26,1.0
2018.19,Caernarvon,Vic,Sunraysia,Price,10.0,24.0,13.0,7.0,4.0,0.0,6.0,6.6,3.0,3.0,10.0,4.0,0.0,0.0,1.2,1.6,6.8,10.0,9,0.5555555555555556
2018.19,Carina,Vic,Sunraysia,Carmel,9.0,24.0,9.0,6.0,4.0,0.8,7.0,3.2,2.0,3.0,7.0,3.0,0.0,0.0,0.4,1.6,4.0,7.0,9,0.1111111111111111
2018.19,Carina,Vic,Sunraysia,Np,9.0,24.0,9.0,6.0,4.0,0.8,7.0,3.2,2.0,3.0,7.0,3.0,0.0,0.0,0.4,1.6,4.0,7.0,21,1.0
2018.19,Carina,Vic,Sunraysia,Price,9.0,24.0,9.0,6.0,4.0,0.8,7.0,3.2,2.0,3.0,7.0,3.0,0.0,0.0,0.4,1.6,4.0,7.0,6,0.8333333333333334
2018.19,Century Loxton,SA,Riverland,Carmel,13.0,22.0,6.0,2.0,4.0,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,84,0.0595238095238095
2018.19,Century Loxton,SA,Riverland,Np,13.0,22.0,6.0,2.0,4.0,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,107,0.3644859813084112
2018.19,Century Loxton,SA,Riverland,Peerless,13.0,22.0,6.0,2.0,4.0,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,12,0.0
2018.19,Century Loxton,SA,Riverland,Price,13.0,22.0,6.0,2.0,4.0,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0.0
2018.19,Chatfield,WA,WA,Carmel,18.0,32.0,0.0,0.0,4.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0
2018.19,Chatfield,WA,WA,Monterey,18.0,32.0,0.0,0.0,4.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0
2018.19,Chatfield,WA,WA,Np,18.0,32.0,0.0,0.0,4.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0
2018.19,Chatfield,WA,WA,Price,18.0,32.0,0.0,0.0,4.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0
2018.19,Cmv Lp,SA,Riverland,Carmel,10.0,19.0,3.0,3.0,3.0,2.2,9.0,0.4,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.6,1.2,1.6,70,0.1571428571428571
2018.19,Cmv Lp,SA,Riverland,Monterey,10.0,19.0,3.0,3.0,3.0,2.2,9.0,0.4,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.6,1.2,1.6,26,0.0769230769230769
2018.19,Cmv Lp,SA,Riverland,Np,10.0,19.0,3.0,3.0,3.0,2.2,9.0,0.4,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.6,1.2,1.6,137,0.4087591240875912
2018.19,Cmv Lp,SA,Riverland,Peerless,10.0,19.0,3.0,3.0,3.0,2.2,9.0,0.4,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.6,1.2,1.6,21,0.1904761904761904
2018.19,Domenic Cavallaro,SA,Adelaide Plains,Carina,9.0,13.0,0.0,0.0,4.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.2,2.2,2.6,6,0.0
2018.19,Domenic Cavallaro,SA,Adelaide Plains,Keane,9.0,13.0,0.0,0.0,4.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.2,2.2,2.6,8,0.125
2018.19,Domenic Cavallaro,SA,Adelaide Plains,Np,9.0,13.0,0.0,0.0,4.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.2,2.2,2.6,32,0.8125
2018.19,Domenic Cavallaro,SA,Adelaide Plains,Peerless,9.0,13.0,0.0,0.0,4.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.2,2.2,2.6,7,0.0
2018.19,Egan Rd,Vic,Riverina,Carmel,16.0,29.0,13.0,6.0,1.0,2.6,8.0,0.9,10.0,4.0,4.0,2.0,0.0,1.4,5.6,0.0,3.5,6.3,7,0.0
2018.19,Egan Rd,Vic,Riverina,Independence,16.0,29.0,13.0,6.0,1.0,2.6,8.0,0.9,10.0,4.0,4.0,2.0,0.0,1.4,5.6,0.0,3.5,6.3,8,0.0
2018.19,Egan Rd,Vic,Riverina,Monterey,16.0,29.0,13.0,6.0,1.0,2.6,8.0,0.9,10.0,4.0,4.0,2.0,0.0,1.4,5.6,0.0,3.5,6.3,1,1.0
2018.19,Egan Rd,Vic,Riverina,Np,16.0,29.0,13.0,6.0,1.0,2.6,8.0,0.9,10.0,4.0,4.0,2.0,0.0,1.4,5.6,0.0,3.5,6.3,9,0.7777777777777778
2018.19,Egan Rd,Vic,Riverina,Peerless,16.0,29.0,13.0,6.0,1.0,2.6,8.0,0.9,10.0,4.0,4.0,2.0,0.0,1.4,5.6,0.0,3.5,6.3,2,0.5
2018.19,Egan Rd,Vic,Riverina,Price,16.0,29.0,13.0,6.0,1.0,2.6,8.0,0.9,10.0,4.0,4.0,2.0,0.0,1.4,5.6,0.0,3.5,6.3,2,0.5
2018.19,Freeman Farming,SA,Riverland,Carmel,11.0,20.0,2.0,2.0,4.0,2.4,4.0,2.4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,2.4,36,0.1944444444444444
2018.19,Freeman Farming,SA,Riverland,Ne Plus,11.0,20.0,2.0,2.0,4.0,2.4,4.0,2.4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,2.4,11,0.0909090909090909
2018.19,Freeman Farming,SA,Riverland,Np,11.0,20.0,2.0,2.0,4.0,2.4,4.0,2.4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,2.4,27,0.1851851851851851
2018.19,Gary Thorpe,SA,Riverland,Carmel,12.0,22.0,10.0,3.0,5.0,3.6,16.0,2.6,6.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,13,0.0769230769230769
2018.19,Gary Thorpe,SA,Riverland,Np,12.0,22.0,10.0,3.0,5.0,3.6,16.0,2.6,6.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,33,0.4848484848484848
2018.19,Gary Thorpe,SA,Riverland,Peerless,12.0,22.0,10.0,3.0,5.0,3.6,16.0,2.6,6.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,11,0.0
2018.19,Gone Nuts,SA,Riverland,Carmel,12.0,23.0,4.0,3.0,4.0,0.0,6.0,1.2,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.6,12,0.1666666666666666
2018.19,Gone Nuts,SA,Riverland,Fritz,12.0,23.0,4.0,3.0,4.0,0.0,6.0,1.2,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.6,11,0.1818181818181818
2018.19,Gone Nuts,SA,Riverland,Ne Plus,12.0,23.0,4.0,3.0,4.0,0.0,6.0,1.2,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.6,5,0.0
2018.19,Gone Nuts,SA,Riverland,Np,12.0,23.0,4.0,3.0,4.0,0.0,6.0,1.2,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.6,30,0.0333333333333333
2018.19,Jubilee,SA,Riverland,Carmel,5.0,9.0,0.0,0.0,4.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,4.4,4.4,25,0.16
2018.19,Jubilee,SA,Riverland,Monterey,5.0,9.0,0.0,0.0,4.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,4.4,4.4,36,0.0
2018.19,Jubilee,SA,Riverland,Ne Plus,5.0,9.0,0.0,0.0,4.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,4.4,4.4,5,0.4
2018.19,Jubilee,SA,Riverland,Np,5.0,9.0,0.0,0.0,4.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,4.4,4.4,77,0.2597402597402597
2018.19,Jubilee,SA,Riverland,Vella,5.0,9.0,0.0,0.0,4.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,4.4,4.4,67,0.0
2018.19,Jubilee,SA,Riverland,Wood Colony,5.0,9.0,0.0,0.0,4.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,4.4,4.4,6,0.0
2018.19,Lake Powell,Vic,Sunraysia,Carmel,11.0,26.0,10.0,7.0,5.0,0.2,8.0,2.0,8.0,3.0,2.0,4.0,0.0,0.0,1.2,2.2,0.8,2.0,35,0.0571428571428571
2018.19,Lake Powell,Vic,Sunraysia,Np,11.0,26.0,10.0,7.0,5.0,0.2,8.0,2.0,8.0,3.0,2.0,4.0,0.0,0.0,1.2,2.2,0.8,2.0,42,0.9761904761904762
2018.19,Lake Powell,Vic,Sunraysia,Price,11.0,26.0,10.0,7.0,5.0,0.2,8.0,2.0,8.0,3.0,2.0,4.0,0.0,0.0,1.2,2.2,0.8,2.0,4,0.75
2018.19,Margooya,Vic,Sunraysia,Carmel,10.0,24.0,13.0,7.0,5.0,6.6,8.0,10.0,3.0,3.0,10.0,4.0,0.0,0.0,1.2,1.6,9.6,10.0,21,0.2857142857142857
2018.19,Margooya,Vic,Sunraysia,Monterey,10.0,24.0,13.0,7.0,5.0,6.6,8.0,10.0,3.0,3.0,10.0,4.0,0.0,0.0,1.2,1.6,9.6,10.0,1,0.0
2018.19,Margooya,Vic,Sunraysia,Np,10.0,24.0,13.0,7.0,5.0,6.6,8.0,10.0,3.0,3.0,10.0,4.0,0.0,0.0,1.2,1.6,9.6,10.0,27,0.925925925925926
2018.19,Margooya,Vic,Sunraysia,Price,10.0,24.0,13.0,7.0,5.0,6.6,8.0,10.0,3.0,3.0,10.0,4.0,0.0,0.0,1.2,1.6,9.6,10.0,8,0.75
2018.19,Mclaren Dr,Vic,Sunraysia,Carmel,5.0,10.0,1.0,1.0,4.0,0.0,16.0,0.8,1.0,1.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,5,0.0
2018.19,Mclaren Dr,Vic,Sunraysia,Monterey,5.0,10.0,1.0,1.0,4.0,0.0,16.0,0.8,1.0,1.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,5,0.0
2018.19,Mclaren Dr,Vic,Sunraysia,Np,5.0,10.0,1.0,1.0,4.0,0.0,16.0,0.8,1.0,1.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,21,0.238095238095238
2018.19,Mclaren Dr,Vic,Sunraysia,Price,5.0,10.0,1.0,1.0,4.0,0.0,16.0,0.8,1.0,1.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,3,0.0
2018.19,Meilman,Vic,Sunraysia,Carmel,5.0,11.0,9.6,3.0,4.0,2.0,11.0,1.6,6.0,3.0,0.0,0.0,0.2,0.0,1.2,1.0,1.8,2.2,18,0.0
2018.19,Meilman,Vic,Sunraysia,Monterey,5.0,11.0,9.6,3.0,4.0,2.0,11.0,1.6,6.0,3.0,0.0,0.0,0.2,0.0,1.2,1.0,1.8,2.2,13,0.0
2018.19,Meilman,Vic,Sunraysia,Np,5.0,11.0,9.6,3.0,4.0,2.0,11.0,1.6,6.0,3.0,0.0,0.0,0.2,0.0,1.2,1.0,1.8,2.2,31,0.0
2018.19,Mullroo,Vic,Sunraysia,Carmel,8.0,14.0,1.0,1.0,4.0,0.0,21.0,0.6,1.0,1.0,0.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,14,0.0
2018.19,Mullroo,Vic,Sunraysia,Monterey,8.0,14.0,1.0,1.0,4.0,0.0,21.0,0.6,1.0,1.0,0.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,21,0.0
2018.19,Mullroo,Vic,Sunraysia,Np,8.0,14.0,1.0,1.0,4.0,0.0,21.0,0.6,1.0,1.0,0.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,43,0.2790697674418604
2018.19,Mullroo,Vic,Sunraysia,Price,8.0,14.0,1.0,1.0,4.0,0.0,21.0,0.6,1.0,1.0,0.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,2,0.0
2018.19,Nick Pezzaniti,SA,Adelaide Plains,Fritz,6.0,8.0,0.0,0.0,4.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2.4,2.4,2.4,8,0.5
2018.19,Nick Pezzaniti,SA,Adelaide Plains,Keane,6.0,8.0,0.0,0.0,4.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2.4,2.4,2.4,31,0.0
2018.19,Nick Pezzaniti,SA,Adelaide Plains,Np,6.0,8.0,0.0,0.0,4.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2.4,2.4,2.4,77,0.2077922077922078
2018.19,Nick Pezzaniti,SA,Adelaide Plains,Price,6.0,8.0,0.0,0.0,4.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2.4,2.4,2.4,7,0.0
2018.19,Nutwood,Vic,Riverland,Carmel,10.0,19.0,3.0,3.0,2.0,2.2,8.0,2.6,3.0,3.0,0.0,0.0,0.0,0.0,0.4,2.2,2.2,2.6,18,0.0
2018.19,Nutwood,Vic,Riverland,Monterey,10.0,19.0,3.0,3.0,2.0,2.2,8.0,2.6,3.0,3.0,0.0,0.0,0.0,0.0,0.4,2.2,2.2,2.6,1,0.0
2018.19,Nutwood,Vic,Riverland,Np,10.0,19.0,3.0,3.0,2.0,2.2,8.0,2.6,3.0,3.0,0.0,0.0,0.0,0.0,0.4,2.2,2.2,2.6,36,0.7222222222222222
2018.19,Nutwood,Vic,Riverland,Peerless,10.0,19.0,3.0,3.0,2.0,2.2,8.0,2.6,3.0,3.0,0.0,0.0,0.0,0.0,0.4,2.2,2.2,2.6,1,0.0
2018.19,Nutwood,Vic,Riverland,Price,10.0,19.0,3.0,3.0,2.0,2.2,8.0,2.6,3.0,3.0,0.0,0.0,0.0,0.0,0.4,2.2,2.2,2.6,4,0.25
2018.19,Nutwood,Vic,Riverland,Wood Colony,10.0,19.0,3.0,3.0,2.0,2.2,8.0,2.6,3.0,3.0,0.0,0.0,0.0,0.0,0.4,2.2,2.2,2.6,3,0.0
2018.19,Outback,Vic,Sunraysia,Carmel,8.0,14.0,3.0,2.0,4.0,0.0,13.0,1.6,3.0,2.0,0.0,0.0,1.4,1.6,0.0,1.0,0.0,0.0,16,0.0
2018.19,Outback,Vic,Sunraysia,Fritz,8.0,14.0,3.0,2.0,4.0,0.0,13.0,1.6,3.0,2.0,0.0,0.0,1.4,1.6,0.0,1.0,0.0,0.0,5,0.0
2018.19,Outback,Vic,Sunraysia,Np,8.0,14.0,3.0,2.0,4.0,0.0,13.0,1.6,3.0,2.0,0.0,0.0,1.4,1.6,0.0,1.0,0.0,0.0,18,0.1111111111111111
2018.19,Outback,Vic,Sunraysia,Wood Colony,8.0,14.0,3.0,2.0,4.0,0.0,13.0,1.6,3.0,2.0,0.0,0.0,1.4,1.6,0.0,1.0,0.0,0.0,3,0.0
2018.19,Vince Ruggiero,SA,Adelaide Plains,Johnson,9.0,13.0,2.0,4.0,5.0,1.0,9.0,0.6,0.0,0.0,2.0,4.0,0.0,0.0,0.0,4.2,2.2,2.2,34,0.4411764705882353
2018.19,Vince Ruggiero,SA,Adelaide Plains,Np,9.0,13.0,2.0,4.0,5.0,1.0,9.0,0.6,0.0,0.0,2.0,4.0,0.0,0.0,0.0,4.2,2.2,2.2,53,0.7169811320754716
2018.19,Vince Ruggiero,SA,Adelaide Plains,Wild Type,9.0,13.0,2.0,4.0,5.0,1.0,9.0,0.6,0.0,0.0,2.0,4.0,0.0,0.0,0.0,4.2,2.2,2.2,55,0.3090909090909091
2018.19,Walker Flat Almonds,SA,Riverland,Carina,2.0,5.0,0.0,0.0,4.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0
2018.19,Walker Flat Almonds,SA,Riverland,Carmel,2.0,5.0,0.0,0.0,4.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.04
2018.19,Walker Flat Almonds,SA,Riverland,Maxima,2.0,5.0,0.0,0.0,4.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.1666666666666666
2018.19,Walker Flat Almonds,SA,Riverland,Np,2.0,5.0,0.0,0.0,4.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0.073170731707317
2018.19,Walker Flat Almonds,SA,Riverland,Price,2.0,5.0,0.0,0.0,4.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0952380952380952
2018.19,Wemen,Vic,Sunraysia,Carmel,6.0,16.0,0.0,1.0,4.0,0.0,10.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.4,1.6,0.0,0.4,6,0.0
2018.19,Wemen,Vic,Sunraysia,Np,6.0,16.0,0.0,1.0,4.0,0.0,10.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.4,1.6,0.0,0.4,12,0.6666666666666666
2018.19,Wemen,Vic,Sunraysia,Price,6.0,16.0,0.0,1.0,4.0,0.0,10.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.4,1.6,0.0,0.4,5,0.2
2018.19,Yilgah,Vic,Riverina,Carmel,20.0,30.0,14.0,3.0,2.0,7.0,11.0,3.0,7.0,2.0,7.0,1.0,0.0,0.0,4.0,3.0,7.0,7.0,19,0.0526315789473684
2018.19,Yilgah,Vic,Riverina,Independence,20.0,30.0,14.0,3.0,2.0,7.0,11.0,3.0,7.0,2.0,7.0,1.0,0.0,0.0,4.0,3.0,7.0,7.0,10,0.2
