Year,Orchard,Variety,Days over 40C,Days over 35C,Total Amount of rain ml since 1 Jan,No of rain days since 1 Jan,Days since last rain <5days from assess,Amt rain in last event<5days from assess,Days since last rain >5days from assess,Amt rain in last event>5days from assess,Total rain Jan mm,No rain days Jan,Total rain Feb mm,No rain days Feb,Rain 1st week Jan,Rain 2nd week  Jan,Rain 3rd week  Jan,Rain 4th week  Jan,Rain within 7 days of assessment,Rain within 10 days of assessment,Total_Trees_Assessed,HR Incidence
2018.19,Yilgah,Carmel,20.0,30.0,14.0,3.0,2.0,7.0,11.0,3.0,7.0,2.0,7.0,1.0,0.0,0.0,4.0,3.0,7.0,7.0,19,0.05263157894736842
2018.19,Yilgah,Independence,20.0,30.0,14.0,3.0,2.0,7.0,11.0,3.0,7.0,2.0,7.0,1.0,0.0,0.0,4.0,3.0,7.0,7.0,10,0.2
2018.19,Yilgah,Np,20.0,30.0,14.0,3.0,2.0,7.0,11.0,3.0,7.0,2.0,7.0,1.0,0.0,0.0,4.0,3.0,7.0,7.0,18,1.0
2018.19,Yilgah,Price,20.0,30.0,14.0,3.0,2.0,7.0,11.0,3.0,7.0,2.0,7.0,1.0,0.0,0.0,4.0,3.0,7.0,7.0,5,0.2
2019.2,Belvedere,Carmel,6.0,15.0,27.5,3.0,1.0,11.5,19.0,10.0,16.0,2.0,11.5,1.0,0.0,0.0,16.0,0.0,11.5,11.5,11,0.0
2019.2,Belvedere,Monterey,6.0,15.0,27.5,3.0,1.0,11.5,19.0,10.0,16.0,2.0,11.5,1.0,0.0,0.0,16.0,0.0,11.5,11.5,1,0.0
2019.2,Belvedere,Np,6.0,15.0,27.5,3.0,1.0,11.5,19.0,10.0,16.0,2.0,11.5,1.0,0.0,0.0,16.0,0.0,11.5,11.5,23,0.782608695652174
2019.2,Belvedere,Price,6.0,15.0,27.5,3.0,1.0,11.5,19.0,10.0,16.0,2.0,11.5,1.0,0.0,0.0,16.0,0.0,11.5,11.5,5,0.0
2019.2,Bennett,Carmel,3.0,11.0,4.0,4.0,6.0,1.4,6.0,1.4,4.0,4.0,0.0,0.0,0.8,0.0,0.6,2.6,1.4,2.6,10,0.0
2019.2,Bennett,Np,3.0,11.0,4.0,4.0,6.0,1.4,6.0,1.4,4.0,4.0,0.0,0.0,0.8,0.0,0.6,2.6,1.4,2.6,20,0.9
2019.2,Bennett,Price,3.0,11.0,4.0,4.0,6.0,1.4,6.0,1.4,4.0,4.0,0.0,0.0,0.8,0.0,0.6,2.6,1.4,2.6,3,0.0
2019.2,Big River Produce,Carmel,4.0,8.0,23.8,6.0,3.0,11.8,10.0,0.6,12.0,4.0,11.8,2.0,9.6,0.2,2.2,0.0,11.8,11.8,11,0.09090909090909091
2019.2,Big River Produce,Np,4.0,8.0,23.8,6.0,3.0,11.8,10.0,0.6,12.0,4.0,11.8,2.0,9.6,0.2,2.2,0.0,11.8,11.8,11,0.6363636363636364
2019.2,Big River Produce,Price,4.0,8.0,23.8,6.0,3.0,11.8,10.0,0.6,12.0,4.0,11.8,2.0,9.6,0.2,2.2,0.0,11.8,11.8,6,0.5
2019.2,Caernarvon,Carmel,2.0,10.0,16.8,9.0,2.0,2.2,11.0,1.0,14.6,8.0,2.2,1.0,9.8,0.8,3.0,1.0,2.2,2.2,19,0.0
2019.2,Caernarvon,Np,2.0,10.0,16.8,9.0,2.0,2.2,11.0,1.0,14.6,8.0,2.2,1.0,9.8,0.8,3.0,1.0,2.2,2.2,26,1.0
2019.2,Caernarvon,Price,2.0,10.0,16.8,9.0,2.0,2.2,11.0,1.0,14.6,8.0,2.2,1.0,9.8,0.8,3.0,1.0,2.2,2.2,9,0.0
2019.2,Carina,Carmel,2.0,8.0,9.6,7.0,3.0,0.6,14.0,3.8,9.0,6.0,0.6,1.0,2.8,1.0,4.4,0.8,0.6,0.6,9,0.0
2019.2,Carina,Np,2.0,8.0,9.6,7.0,3.0,0.6,14.0,3.8,9.0,6.0,0.6,1.0,2.8,1.0,4.4,0.8,0.6,0.6,21,0.8571428571428571
2019.2,Carina,Price,2.0,8.0,9.6,7.0,3.0,0.6,14.0,3.8,9.0,6.0,0.6,1.0,2.8,1.0,4.4,0.8,0.6,0.6,6,0.0
2019.2,Century Loxton,Carmel,2.0,5.0,14.4,4.0,3.0,1.4,11.0,0.4,14.4,4.0,0.0,0.0,12.6,0.4,1.4,,1.4,1.4,10,0.1
2019.2,Century Loxton,Np,2.0,5.0,14.4,4.0,3.0,1.4,11.0,0.4,14.4,4.0,0.0,0.0,12.6,0.4,1.4,,1.4,1.4,94,0.10638297872340426
2019.2,Century Loxton,Peerless,2.0,5.0,14.4,4.0,3.0,1.4,11.0,0.4,14.4,4.0,0.0,0.0,12.6,0.4,1.4,,1.4,1.4,3,0.0
2019.2,Chatfield,Carmel,2.0,20.0,0.0,0.0,,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,17,0.0
2019.2,Chatfield,Monterey,2.0,20.0,0.0,0.0,,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5,0.4
2019.2,Chatfield,Np,2.0,20.0,0.0,0.0,,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,23,0.13043478260869565
2019.2,Chatfield,Price,2.0,20.0,0.0,0.0,,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,6,0.0
2019.2,Cmv Lp,Carmel,3.0,6.0,11.4,3.0,9.0,2.0,9.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,4,0.5
2019.2,Cmv Lp,Np,3.0,6.0,11.4,3.0,9.0,2.0,9.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,132,0.49242424242424243
2019.2,Cmv Lp,Peerless,3.0,6.0,11.4,3.0,9.0,2.0,9.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,9,0.3333333333333333
2019.2,Domenic Cavallaro,Carina,4.0,8.0,32.8,9.0,9.0,21.0,8.0,16.8,10.8,5.0,22.0,4.0,2.0,0.8,7.0,1.0,1.8,22.0,6,0.5
2019.2,Domenic Cavallaro,Keane,4.0,8.0,32.8,9.0,9.0,21.0,8.0,16.8,10.8,5.0,22.0,4.0,2.0,0.8,7.0,1.0,1.8,22.0,8,0.75
2019.2,Domenic Cavallaro,Np,4.0,8.0,32.8,9.0,9.0,21.0,8.0,16.8,10.8,5.0,22.0,4.0,2.0,0.8,7.0,1.0,1.8,22.0,32,0.84375
2019.2,Egan Rd,Carmel,6.0,15.0,46.0,3.0,1.0,12.0,19.0,24.0,34.0,2.0,12.0,1.0,0.0,0.0,34.0,0.0,12.0,12.0,7,0.0
2019.2,Egan Rd,Independence,6.0,15.0,46.0,3.0,1.0,12.0,19.0,24.0,34.0,2.0,12.0,1.0,0.0,0.0,34.0,0.0,12.0,12.0,4,0.0
2019.2,Egan Rd,Monterey,6.0,15.0,46.0,3.0,1.0,12.0,19.0,24.0,34.0,2.0,12.0,1.0,0.0,0.0,34.0,0.0,12.0,12.0,1,1.0
2019.2,Egan Rd,Np,6.0,15.0,46.0,3.0,1.0,12.0,19.0,24.0,34.0,2.0,12.0,1.0,0.0,0.0,34.0,0.0,12.0,12.0,9,0.7777777777777778
2019.2,Egan Rd,Peerless,6.0,15.0,46.0,3.0,1.0,12.0,19.0,24.0,34.0,2.0,12.0,1.0,0.0,0.0,34.0,0.0,12.0,12.0,2,0.0
2019.2,Egan Rd,Price,6.0,15.0,46.0,3.0,1.0,12.0,19.0,24.0,34.0,2.0,12.0,1.0,0.0,0.0,34.0,0.0,12.0,12.0,2,1.0
2019.2,Freeman Farming,Carmel,3.0,7.0,11.4,3.0,10.0,2.0,10.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,25,0.32
2019.2,Freeman Farming,Ne Plus,3.0,7.0,11.4,3.0,10.0,2.0,10.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,7,0.2857142857142857
2019.2,Freeman Farming,Np,3.0,7.0,11.4,3.0,10.0,2.0,10.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,25,0.56
2019.2,Gary Thorpe,Carmel,2.0,7.0,29.6,6.0,4.0,17.0,15.0,1.4,12.6,4.0,17.0,2.0,10.4,0.8,1.4,0.0,17.0,17.0,8,0.5
2019.2,Gary Thorpe,Np,2.0,7.0,29.6,6.0,4.0,17.0,15.0,1.4,12.6,4.0,17.0,2.0,10.4,0.8,1.4,0.0,17.0,17.0,25,0.44
2019.2,Gary Thorpe,Peerless,2.0,7.0,29.6,6.0,4.0,17.0,15.0,1.4,12.6,4.0,17.0,2.0,10.4,0.8,1.4,0.0,17.0,17.0,8,0.25
2019.2,Gone Nuts,Carmel,2.0,7.0,12.0,4.0,11.0,1.8,11.0,1.8,12.0,4.0,0.0,0.0,9.8,0.4,1.8,0.0,0.0,0.0,3,0.0
2019.2,Gone Nuts,Fritz,2.0,7.0,12.0,4.0,11.0,1.8,11.0,1.8,12.0,4.0,0.0,0.0,9.8,0.4,1.8,0.0,0.0,0.0,10,0.2
2019.2,Gone Nuts,Ne Plus,2.0,7.0,12.0,4.0,11.0,1.8,11.0,1.8,12.0,4.0,0.0,0.0,9.8,0.4,1.8,0.0,0.0,0.0,4,0.0
2019.2,Gone Nuts,Np,2.0,7.0,12.0,4.0,11.0,1.8,11.0,1.8,12.0,4.0,0.0,0.0,9.8,0.4,1.8,0.0,0.0,0.0,29,0.27586206896551724
2019.2,Jubilee,Carina,3.0,6.0,51.0,8.0,3.0,35.4,14.0,3.4,15.6,5.0,35.4,3.0,11.4,0.8,3.4,0.0,35.4,35.4,25,0.08
2019.2,Jubilee,Carmel,3.0,6.0,51.0,8.0,3.0,35.4,14.0,3.4,15.6,5.0,35.4,3.0,11.4,0.8,3.4,0.0,35.4,35.4,10,0.2
2019.2,Jubilee,Monterey,3.0,6.0,51.0,8.0,3.0,35.4,14.0,3.4,15.6,5.0,35.4,3.0,11.4,0.8,3.4,0.0,35.4,35.4,10,0.1
2019.2,Jubilee,Ne Plus,3.0,6.0,51.0,8.0,3.0,35.4,14.0,3.4,15.6,5.0,35.4,3.0,11.4,0.8,3.4,0.0,35.4,35.4,5,0.2
2019.2,Jubilee,Np,3.0,6.0,51.0,8.0,3.0,35.4,14.0,3.4,15.6,5.0,35.4,3.0,11.4,0.8,3.4,0.0,35.4,35.4,77,0.7792207792207793
2019.2,Jubilee,Vella,3.0,6.0,51.0,8.0,3.0,35.4,14.0,3.4,15.6,5.0,35.4,3.0,11.4,0.8,3.4,0.0,35.4,35.4,41,0.04878048780487805
2019.2,Jubilee,Wood Colony,3.0,6.0,51.0,8.0,3.0,35.4,14.0,3.4,15.6,5.0,35.4,3.0,11.4,0.8,3.4,0.0,35.4,35.4,4,0.25
2019.2,Lake Powell,Carmel,4.0,11.0,6.8,8.0,4.0,2.2,12.0,1.6,4.6,6.0,2.2,2.0,0.8,0.2,2.0,1.6,2.2,2.2,35,0.02857142857142857
2019.2,Lake Powell,Np,4.0,11.0,6.8,8.0,4.0,2.2,12.0,1.6,4.6,6.0,2.2,2.0,0.8,0.2,2.0,1.6,2.2,2.2,42,0.7380952380952381
2019.2,Lake Powell,Price,4.0,11.0,6.8,8.0,4.0,2.2,12.0,1.6,4.6,6.0,2.2,2.0,0.8,0.2,2.0,1.6,2.2,2.2,4,0.0
2019.2,Margooya,Carmel,2.0,10.0,16.8,9.0,2.0,2.2,11.0,1.0,14.6,8.0,2.2,1.0,9.8,0.8,3.0,1.0,2.2,2.2,21,0.0
2019.2,Margooya,Monterey,2.0,10.0,16.8,9.0,2.0,2.2,11.0,1.0,14.6,8.0,2.2,1.0,9.8,0.8,3.0,1.0,2.2,2.2,1,0.0
2019.2,Margooya,Np,2.0,10.0,16.8,9.0,2.0,2.2,11.0,1.0,14.6,8.0,2.2,1.0,9.8,0.8,3.0,1.0,2.2,2.2,25,0.76
2019.2,Margooya,Price,2.0,10.0,16.8,9.0,2.0,2.2,11.0,1.0,14.6,8.0,2.2,1.0,9.8,0.8,3.0,1.0,2.2,2.2,10,0.4
2019.2,Mclaren Dr,Carmel,0.0,1.0,1.4,4.0,11.0,0.4,11.0,0.4,1.4,4.0,0.0,0.0,1.0,0.4,0.0,,0.0,0.0,5,0.0
2019.2,Mclaren Dr,Monterey,0.0,1.0,1.4,4.0,11.0,0.4,11.0,0.4,1.4,4.0,0.0,0.0,1.0,0.4,0.0,,0.0,0.0,5,0.0
2019.2,Mclaren Dr,Np,0.0,1.0,1.4,4.0,11.0,0.4,11.0,0.4,1.4,4.0,0.0,0.0,1.0,0.4,0.0,,0.0,0.0,21,0.5714285714285714
2019.2,Mclaren Dr,Price,0.0,1.0,1.4,4.0,11.0,0.4,11.0,0.4,1.4,4.0,0.0,0.0,1.0,0.4,0.0,,0.0,0.0,3,0.0
2019.2,Meilman,Carmel,2.0,10.0,16.8,9.0,5.0,2.2,14.0,1.0,14.6,8.0,2.2,1.0,9.8,0.8,3.0,1.0,2.2,2.2,19,0.0
2019.2,Meilman,Monterey,2.0,10.0,16.8,9.0,5.0,2.2,14.0,1.0,14.6,8.0,2.2,1.0,9.8,0.8,3.0,1.0,2.2,2.2,13,0.0
2019.2,Meilman,Np,2.0,10.0,16.8,9.0,5.0,2.2,14.0,1.0,14.6,8.0,2.2,1.0,9.8,0.8,3.0,1.0,2.2,2.2,30,0.43333333333333335
2019.2,Mullroo,Carmel,1.0,10.0,6.0,4.0,7.0,2.4,7.0,2.4,6.0,4.0,0.0,0.0,3.2,0.2,0.2,2.4,2.4,2.4,13,0.0
2019.2,Mullroo,Monterey,1.0,10.0,6.0,4.0,7.0,2.4,7.0,2.4,6.0,4.0,0.0,0.0,3.2,0.2,0.2,2.4,2.4,2.4,22,0.0
2019.2,Mullroo,Np,1.0,10.0,6.0,4.0,7.0,2.4,7.0,2.4,6.0,4.0,0.0,0.0,3.2,0.2,0.2,2.4,2.4,2.4,43,0.4186046511627907
2019.2,Mullroo,Price,1.0,10.0,6.0,4.0,7.0,2.4,7.0,2.4,6.0,4.0,0.0,0.0,3.2,0.2,0.2,2.4,2.4,2.4,2,0.0
2019.2,Nick Pezzaniti,Fritz,4.0,8.0,31.8,8.0,5.0,21.0,4.0,16.8,10.8,5.0,21.0,3.0,2.0,0.8,7.0,1.0,21.0,21.0,8,0.625
2019.2,Nick Pezzaniti,Keane,4.0,8.0,31.8,8.0,5.0,21.0,4.0,16.8,10.8,5.0,21.0,3.0,2.0,0.8,7.0,1.0,21.0,21.0,25,0.4
2019.2,Nick Pezzaniti,Np,4.0,8.0,31.8,8.0,5.0,21.0,4.0,16.8,10.8,5.0,21.0,3.0,2.0,0.8,7.0,1.0,21.0,21.0,72,0.5833333333333334
2019.2,Nick Pezzaniti,Price,4.0,8.0,31.8,8.0,5.0,21.0,4.0,16.8,10.8,5.0,21.0,3.0,2.0,0.8,7.0,1.0,21.0,21.0,7,0.5714285714285714
2019.2,Nutwood,Carmel,3.0,6.0,11.4,3.0,9.0,2.0,9.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,18,0.0
2019.2,Nutwood,Monterey,3.0,6.0,11.4,3.0,9.0,2.0,9.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,1,0.0
2019.2,Nutwood,Np,3.0,6.0,11.4,3.0,9.0,2.0,9.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,36,0.8888888888888888
2019.2,Nutwood,Peerless,3.0,6.0,11.4,3.0,9.0,2.0,9.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,1,0.0
2019.2,Nutwood,Price,3.0,6.0,11.4,3.0,9.0,2.0,9.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,4,0.0
2019.2,Nutwood,Wood Colony,3.0,6.0,11.4,3.0,9.0,2.0,9.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,3,0.0
2019.2,Outback,Np,3.0,7.0,0.8,1.0,10.0,0.8,10.0,0.8,0.8,1.0,0.0,0.0,0.8,0.0,0.0,,0.0,0.8,15,0.6
2019.2,Vince Ruggiero,Johnson,4.0,8.0,31.8,8.0,5.0,21.0,4.0,16.8,10.8,5.0,21.0,3.0,2.0,0.8,7.0,1.0,21.0,21.0,23,0.5217391304347826
2019.2,Vince Ruggiero,Np,4.0,8.0,31.8,8.0,5.0,21.0,4.0,16.8,10.8,5.0,21.0,3.0,2.0,0.8,7.0,1.0,21.0,21.0,53,0.7924528301886793
2019.2,Vince Ruggiero,Wild Type,4.0,8.0,31.8,8.0,5.0,21.0,4.0,16.8,10.8,5.0,21.0,3.0,2.0,0.8,7.0,1.0,21.0,21.0,49,0.42857142857142855
2019.2,Walker Flat Almonds,Carina,1.0,4.0,7.6,5.0,3.0,0.6,12.0,0.2,7.6,5.0,0.0,0.0,6.8,0.2,0.2,0.4,0.6,0.6,10,0.1
2019.2,Walker Flat Almonds,Carmel,1.0,4.0,7.6,5.0,3.0,0.6,12.0,0.2,7.6,5.0,0.0,0.0,6.8,0.2,0.2,0.4,0.6,0.6,9,0.2222222222222222
2019.2,Walker Flat Almonds,Maxima,1.0,4.0,7.6,5.0,3.0,0.6,12.0,0.2,7.6,5.0,0.0,0.0,6.8,0.2,0.2,0.4,0.6,0.6,6,0.16666666666666666
2019.2,Walker Flat Almonds,Np,1.0,4.0,7.6,5.0,3.0,0.6,12.0,0.2,7.6,5.0,0.0,0.0,6.8,0.2,0.2,0.4,0.6,0.6,77,0.025974025974025976
2019.2,Walker Flat Almonds,Price,1.0,4.0,7.6,5.0,3.0,0.6,12.0,0.2,7.6,5.0,0.0,0.0,6.8,0.2,0.2,0.4,0.6,0.6,11,0.0
2019.2,Wemen,Carmel,2.0,8.0,9.6,7.0,3.0,0.6,14.0,3.8,9.0,6.0,0.6,1.0,2.8,1.0,4.4,0.8,0.6,0.6,6,0.0
2019.2,Wemen,Np,2.0,8.0,9.6,7.0,3.0,0.6,14.0,3.8,9.0,6.0,0.6,1.0,2.8,1.0,4.4,0.8,0.6,0.6,12,0.9166666666666666
2019.2,Wemen,Price,2.0,8.0,9.6,7.0,3.0,0.6,14.0,3.8,9.0,6.0,0.6,1.0,2.8,1.0,4.4,0.8,0.6,0.6,4,0.0
2019.2,Yilgah,Carmel,6.0,16.0,79.0,6.0,2.0,34.0,21.0,28.0,40.0,4.0,39.0,2.0,0.0,0.0,40.0,0.0,39.0,39.0,18,0.6111111111111112
2019.2,Yilgah,Independence,6.0,16.0,79.0,6.0,2.0,34.0,21.0,28.0,40.0,4.0,39.0,2.0,0.0,0.0,40.0,0.0,39.0,39.0,11,0.9090909090909091
2019.2,Yilgah,Np,6.0,16.0,79.0,6.0,2.0,34.0,21.0,28.0,40.0,4.0,39.0,2.0,0.0,0.0,40.0,0.0,39.0,39.0,19,1.0
2019.2,Yilgah,Price,6.0,16.0,79.0,6.0,2.0,34.0,21.0,28.0,40.0,4.0,39.0,2.0,0.0,0.0,40.0,0.0,39.0,39.0,5,1.0
